medical_condition,rating,no_of_reviews
Acne,6.8,760
Acne,7.2,449
Acne,5.7,482
Acne,7.9,623
Acne,7.4,146
Acne,7.6,8
Acne,7.7,439
Acne,8,999
Acne,8.5,96
Acne,7.9,86
Acne,7.4,227
Acne,7.8,51
Acne,6,329
Acne,7.3,698
Acne,6.3,499
Acne,8.4,8
Acne,7.5,57
Acne,6.3,55
Acne,10,2
Acne,6.9,99
Acne,8,30
Acne,8.3,4
Acne,5.7,8
Acne,7.6,570
Acne,9,5
Acne,7.5,4
Acne,7.7,193
Acne,8.2,94
Acne,7.8,32
Acne,5,1
Acne,8.8,5
Acne,,
Acne,6,32
Acne,10,1
Acne,8.2,116
Acne,6.7,13
Acne,6.7,267
Acne,7.3,909
Acne,7,1
Acne,6.4,193
Acne,7.5,76
Acne,6.6,5
Acne,7.3,57
Acne,7.8,27
Acne,7.4,35
Acne,9,2
Acne,7.3,252
Acne,7.3,274
Acne,7.2,115
Acne,8.7,10
Acne,8.6,33
Acne,8,1
Acne,7,3
Acne,9,1
Acne,8.1,35
Acne,7.4,5
Acne,7.7,9
Acne,7.6,54
Acne,7.3,34
Acne,7.6,183
Acne,6.4,669
Acne,4.8,32
Acne,5.4,489
Acne,7.3,54
Acne,5.7,45
Acne,8.3,3
Acne,7.5,25
Acne,8.5,6
Acne,9.5,2
Acne,8.7,7
Acne,8,3
Acne,7.5,36
Acne,7.3,52
Acne,5.2,36
Acne,5,149
Acne,7.4,42
Acne,7.7,11
Acne,2,3
Acne,0,1
Acne,8.1,7
Acne,7,37
Acne,3.8,187
Acne,7.1,9
Acne,5.7,6
Acne,5.2,46
Acne,8.7,3
Acne,7.5,2
Acne,10,3
Acne,8.9,8
Acne,8,2
Acne,2.6,5
Acne,4.4,5
Acne,6.5,12
Acne,3.7,28
Acne,8.5,2
Acne,6,1
ADHD,7.3,768
ADHD,7.4,360
ADHD,7.9,207
ADHD,6.8,382
ADHD,7.3,799
ADHD,8.3,73
ADHD,5.4,21
ADHD,7.2,10
ADHD,6.5,8
ADHD,8.7,3
ADHD,7,833
ADHD,2,1
ADHD,7.6,11
ADHD,4.8,12
ADHD,5.2,478
ADHD,8.6,93
ADHD,6.8,894
ADHD,6.9,160
ADHD,8.3,194
ADHD,6.1,133
ADHD,7.6,61
ADHD,6.3,152
ADHD,9.4,35
ADHD,5.8,257
ADHD,5.8,127
ADHD,5.1,558
ADHD,7,106
ADHD,6.4,119
ADHD,7.9,17
ADHD,7.4,18
ADHD,8.2,14
ADHD,6.3,266
ADHD,8.8,52
ADHD,7.5,41
ADHD,7.1,41
ADHD,8.5,8
ADHD,8.2,9
ADHD,9.5,2
ADHD,10,2
ADHD,8.1,25
ADHD,6.7,3
ADHD,6.8,11
ADHD,8.1,24
ADHD,7,8
ADHD,6.9,33
ADHD,5.5,124
ADHD,,
ADHD,8,2
ADHD,6.1,53
ADHD,6.6,26
ADHD,5.5,5
ADHD,4.5,13
AIDS/HIV,7.1,14
AIDS/HIV,6.9,171
AIDS/HIV,8.3,119
AIDS/HIV,7.2,122
AIDS/HIV,9.5,89
AIDS/HIV,9.1,103
AIDS/HIV,4.8,5
AIDS/HIV,1,3
AIDS/HIV,8.6,17
AIDS/HIV,5.9,30
AIDS/HIV,6.8,19
AIDS/HIV,8.3,120
AIDS/HIV,7.7,4
AIDS/HIV,8,2
AIDS/HIV,8.3,58
AIDS/HIV,10,2
AIDS/HIV,10,5
AIDS/HIV,6.5,4
AIDS/HIV,,
AIDS/HIV,7,25
AIDS/HIV,6.8,4
AIDS/HIV,6,2
AIDS/HIV,4.4,5
